name,Span,Mat,Inns,NO,Runs,HS,SR,Hundreds,Fifties,Ducks,Country
EJ Gray,1984-1988,10,7,1,98,38,42.6,0,0,0,New Zealand
AP Devcich,2013-2013,5,5,0,93,46,74.4,0,0,0,New Zealand
MR Gillespie,2006-2009,29,14,8,93,28,78.81,0,0,1,New Zealand
JS Patel,2005-2009,38,13,7,88,34,58.66,0,0,0,New Zealand
W Watson,1986-1994,61,24,13,86,21,47.77,0,0,3,New Zealand
IG Butler,2002-2010,24,13,5,84,25,54.54,0,0,2,New Zealand
EB McSweeney,1986-1987,15,13,4,71,18*,61.2,0,0,2,New Zealand
SR Gillespie,1986-1988,19,11,5,70,18*,66.03,0,0,1,New Zealand
V Pollard,1973-1974,2,2,0,67,55,46.2,0,1,0,New Zealand
RG Petrie,1990-1991,12,8,3,65,21,59.63,0,0,1,New Zealand
PD McGlashan,2009-2009,3,2,1,63,56*,123.52,0,1,0,New Zealand
PG Coman,1973-1974,3,3,0,62,38,59.61,0,0,1,New Zealand
MN Hart,1994-2002,12,8,0,61,16,60.39,0,0,1,New Zealand
MW Douglas,1994-1995,6,6,0,55,30,44.71,0,0,1,New Zealand
GE Bradburn,1990-2001,10,9,3,54,30,47.36,0,0,1,New Zealand
BJ McKechnie,1975-1981,13,8,4,54,27,37.24,0,0,1,New Zealand
TK Canning,2003-2005,4,4,1,52,23*,71.23,0,0,1,New Zealand
PA Horne,1987-1987,4,4,0,50,18,40.98,0,0,1,New Zealand
GK Robertson,1981-1989,10,6,0,49,17,102.08,0,0,1,New Zealand
BGK Walker,2000-2002,11,7,4,47,16*,59.49,0,0,0,New Zealand
PJ Wiseman,1998-2003,13,7,5,45,16,54.21,0,0,0,New Zealand
VR Brown,1988-1988,3,3,0,44,32,51.76,0,0,0,New Zealand
MH Richardson,2002-2002,4,4,0,42,26,43.29,0,0,1,New Zealand
DR Hadlee,1973-1976,9,6,2,40,20,47.61,0,0,2,New Zealand
PN Webb,1983-1984,5,5,1,38,10*,37.62,0,0,0,New Zealand
DJ White,1990-1990,3,3,0,37,15,38.14,0,0,0,New Zealand
C de Grandhomme,2012-2012,1,1,0,36,36,100,0,0,0,New Zealand
AR Tait,1998-1999,5,5,2,35,13*,109.37,0,0,0,New Zealand
RO Collinge,1973-1978,12,8,3,34,9,58.62,0,0,0,New Zealand
PA Hitchcock,2002-2008,12,6,3,34,11*,68,0,0,1,New Zealand
SL Boock,1978-1987,13,7,4,30,12,96.77,0,0,1,New Zealand
TJ Franklin,1983-1988,3,3,0,27,21,30.33,0,0,1,New Zealand
SL Stewart,2010-2010,4,4,0,26,14,44.06,0,0,0,New Zealand
MJ Mason,2003-2010,24,7,4,24,13*,53.33,0,0,1,New Zealand
SB O'Connor,1997-2000,37,13,6,24,8,26.37,0,0,3,New Zealand
AJ Penn,1997-2001,5,3,1,23,15,69.69,0,0,0,New Zealand
ML Su'a,1992-1995,11,6,2,23,12*,46.93,0,0,0,New Zealand
DG Brownlie,2012-2012,3,3,1,22,19,51.16,0,0,0,New Zealand
BR Taylor,1973-1973,1,1,0,22,22,52.38,0,0,0,New Zealand
DA Stirling,1984-1984,6,5,2,21,13*,53.84,0,0,0,New Zealand
BG Hadlee,1975-1975,1,1,0,19,19,24.67,0,0,0,New Zealand
GI Allott,1997-2000,27,11,6,17,7*,30.35,0,0,2,New Zealand
RJ Kennedy,1996-1996,7,4,3,17,8*,113.33,0,0,0,New Zealand
RW Anderson,1976-1978,2,2,1,16,12,34.78,0,0,0,New Zealand
ADG Roberts,1976-1976,1,1,0,16,16,66.66,0,0,0,New Zealand
HD Rutherford,2013-2013,4,4,0,15,11,26.78,0,0,0,New Zealand
DAJ Bracewell,2011-2013,7,4,1,14,8*,48.27,0,0,1,New Zealand
MJ McClenaghan,2013-2014,20,8,6,14,4,29.78,0,0,0,New Zealand
GE Vivian,1973-1973,1,1,0,14,14,46.66,0,0,0,New Zealand
LJ Woodcock,2011-2011,4,2,1,14,11,63.63,0,0,0,New Zealand
MD Bates,2012-2012,2,1,0,13,13,130,0,0,0,New Zealand
HT Davis,1994-1997,11,6,4,13,7*,39.39,0,0,1,New Zealand
RL Hayes,1995-1995,1,1,0,13,13,52,0,0,0,New Zealand
RP de Groen,1993-1994,10,8,3,12,7*,33.33,0,0,4,New Zealand
AJ McKay,2010-2012,19,10,7,12,4*,25.53,0,0,3,New Zealand
AF Milne,2012-2014,5,1,1,12,12*,400,0,0,0,New Zealand
TS Nethula,2012-2012,5,3,1,12,9*,109.09,0,0,1,New Zealand
HK Bennett,2010-2014,13,7,5,10,4*,28.57,0,0,1,New Zealand
MDJ Walker,2003-2003,3,1,0,10,10,166.66,0,0,0,New Zealand
WA Wisneski,2000-2000,2,2,1,10,6,58.82,0,0,0,New Zealand
CJ Drum,1999-1999,4,2,2,9,7*,40.9,0,0,0,New Zealand
MJ Haslam,1992-1992,1,1,0,9,9,50,0,0,0,New Zealand
GP Sulzberger,2000-2000,3,2,1,9,6*,60,0,0,0,New Zealand
TA Boult,2012-2013,7,4,2,8,5,57.14,0,0,0,New Zealand
CS Martin,2001-2008,19,7,2,8,3,29.62,0,0,2,New Zealand
HJ Howarth,1973-1975,6,4,2,7,5*,41.17,0,0,1,New Zealand
RJ Webb,1983-1983,3,1,1,6,6*,60,0,0,0,New Zealand
LJ Hamilton,2005-2005,2,2,2,3,2*,50,0,0,0,New Zealand
RT Hart,1985-1985,1,1,0,3,3,10.34,0,0,0,New Zealand
DJ Murray,1994-1994,1,1,0,3,3,17.64,0,0,0,New Zealand
